"mtabName","T0_mean","T0_sd","T2_mean","T2_sd","T4_mean","T4_sd","T6_mean","T6_sd","T8_mean","T8_sd","T10_mean","T10_sd","T12_mean","T12_sd","T14_mean","T14_sd","T16_mean","T16_sd","T18_mean","T18_sd","T20_mean","T20_sd","T22_mean","T22_sd","T24_mean","T24_sd","T26_mean","T26_sd","T28_mean","T28_sd","T30_mean","T30_sd","T32_mean","T32_sd","T34_mean","T34_sd","T36_mean","T36_sd","T38_mean","T38_sd","T40_mean","T40_sd","T42_mean","T42_sd","T44_mean","T44_sd","T46_mean","T46_sd"
"citric acid",24.6806244759429,21.7890340600471,59.570357138313,19.3308760637398,39.3181760397708,6.15490721024762,51.4645352292787,46.859821955793,75.3423910866008,32.4197406059732,81.2365544511167,21.3998671945386,76.8029935668718,17.1336029381026,89.3889382436014,44.400118832737,83.909093082994,32.5986382360443,165.377210397834,3.20029920367847,83.9603349528758,38.7525738723414,68.1753758654025,44.0229060588237,67.3571232405978,30.1930691477241,104.369179061176,31.7204407932104,48.537311881209,13.8311820642815,44.4727289245845,8.10936978356887,113.469048214094,56.1697027366383,174.944619262239,131.77121757698,46.8364289972554,27.0809401699556,66.9610308050315,39.345845045038,125.68752526232,39.0276326993464,91.569148935053,51.5381747557516,133.563839122819,114.529809305398,113.961420990741,59.7305506246576
"citrulline",0.732048567105217,0.850698074901497,1.9760666358796,1.20796714812903,1.93305681711166,0.139850434444033,3.26546156452514,1.20972707986808,6.01817204126283,2.95096764711542,5.03284069411308,1.10951520453098,5.37363057575715,1.46743082337408,5.48411772571857,3.55766065539313,4.83099553055493,1.07306511687782,6.16058546574827,0.759013675115613,2.70476838457137,0.771037924804945,1.82274791679397,0.708406898643093,1.83127687491295,0.698078692280171,5.3545093908291,1.04680512661937,3.4712477486247,1.86749093160438,2.92386899903886,1.12921485172882,6.87450040388994,1.63176319215935,9.35200668338644,5.05734704033934,2.91790817119571,2.01064535013353,5.55504871142062,2.40838967961147,4.48908229220691,2.47967892202577,2.7228546417153,1.13418472141334,2.29449170443154,1.205121486264,1.42340996346124,0.462576331124231
"cytidine pos",1.75221785888345,1.99178768386689,4.39204505026593,1.3443526626541,3.58212579510266,2.17563639354523,5.66340998290563,5.22681073677396,8.04335451071659,5.55686258417667,5.00865898830711,3.71419848316176,2.70745825817996,0.0329579284829414,2.27821413094978,1.20951757190345,1.29494183407941,0.61285561500293,2.68894203166733,1.47529107469497,1.01088879826604,0.421818288522673,1.28558246993631,0.624737571989904,3.0706121505398,1.2436652053614,6.6389083261771,1.77041393050543,6.64344334485933,3.49190105703899,4.29821692063822,1.01293923668915,7.57254145040725,1.96766753038701,5.60781472853053,3.92156211947863,1.92824201210127,1.56037111496948,1.81705081857847,0.316685248424986,2.53247736297171,0.180666061406885,1.63537750405752,1.20628712142936,1.13718456570239,0.685597528945464,2.22063468915815,0.73650579071263
"cytosine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151956567535779,0.134318075063704,0.24456922548803,0.220565940025453,0,0,0,0,0,0,0.367837596311869,0.122118049642196,0,0,0.336457971274012,0.12286491598976,0.428706869415661,0.379313564618951,0.55148640023293,0.130320161715371,0,0,0.339105816644239,0.140887877877438,0.224047610013357,0.200754965847248,0.289210614521353,0.0789810924857146,0.211292091983915,0.188788178794293,0.142939400349188,0.0299185992336121
"desthiobiotin",0.0817523968901833,0.0715230381975176,0,0,0.084724623760928,0.0733838389583306,0.167343630214174,0.0274582113362085,0.233865490529524,0.0270142798016789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171151149719566,0.0376490373295294,0.236847863016115,0.0385437330561024,0.163838742531733,0.0243124130045711,0.1654029593032,0.0219720171910615,0.240672841101123,0.0426008605325186,0.251030041712048,0.097396381247647,0.0459894796505189,0.0443995417736628,0,0,0,0,0,0,0,0,0.079824036116905,0.009767313571236
"glutamic acid neg",7545.29817180324,6555.47914725773,12775.7972022156,2944.6555086328,13643.5384837333,4248.87194098338,23359.0386358076,3160.3341148438,31533.6655632276,11623.6461864176,15082.0522704657,5988.98918159475,13631.0897222633,3422.00231862355,14714.3845452488,3668.87855677032,20550.6089759259,2156.15973194974,43102.4597908433,9673.5674820769,19847.1301188589,647.39271400036,21080.2311919684,3408.75360021882,29466.0816594989,11180.5906783013,53791.7563561112,10987.596671891,32606.925907643,7057.98377505476,26601.4328855688,7930.98605328295,42366.7222239593,10117.6457431163,42807.6231448003,8213.43458574997,14864.2312768906,8809.83674085292,23292.3355178233,4402.6982894562,25241.4629207583,3546.90013633911,25602.6731796422,1586.29564356482,20229.2493174409,8418.34892257803,20172.6224940078,5665.8067016799
"glutamine",9.85413682510387,14.8577120076642,0,0,0,0,14.1185904992921,6.79475315447649,16.5004457887376,18.1167863562186,21.4620385073178,1.50274476334367,5.0712557264985,0.886548539659165,19.7967824869008,18.1415627478277,12.5386951035305,16.1704140679843,24.2800763103063,34.3205056036566,6.52805551174834,9.15721161599062,21.8501271343598,26.9446287526023,8.77833688349582,5.24328637270453,6.6303907363463,2.01481244782541,2.5033367338689,0.992910551098079,1.45304590933755,0.188667096204387,5.55205450178639,1.89662391171197,10.9423444311431,2.27153172662028,4.59724492553651,2.92348960013224,4.00511633080423,1.67419417469203,3.88572399956204,2.12845346156829,2.82748764645381,2.24391633953202,7.36092874894666,10.746374551835,11.2614978232836,5.88285783877162
"glutathione oxidized",45.337070446439,20.7908938640996,37.6184422427263,7.04852745589454,75.5404470779953,7.03682159673004,90.2290148037418,14.9764374435616,192.714184718664,103.310223712386,94.0413001736351,19.3239140386121,73.2590177196979,55.3526695245421,76.0173324058503,22.3553694254445,60.4365736630609,15.5518334381555,126.571072567581,50.3191218595222,47.8208835644968,11.6701269957696,53.2958466068131,4.71226202208175,89.1141841695796,40.2462623516605,197.408979658946,79.1631742568631,157.852298234782,27.8974410653641,107.965500526849,43.5362553702175,195.634179470646,60.6045919185679,367.893363622103,262.003469291646,90.4473184661878,24.8583119894603,126.898881034386,46.9646628348058,124.873857388993,68.268837383017,104.085062134214,15.9836322357702,46.2813912219994,17.6109332527745,78.3176641166417,41.333091993197
"glutathione pos",0,0,17.3622641170764,15.0588481273683,0,0,24.3127084038301,21.0674406515061,23.2873270147048,21.457982338043,28.9088197181452,34.2152264805003,39.0227414997992,13.7766226120943,0,0,3.1567156564028,2.75445379976541,8.83627614471621,9.41042506139435,6.25237506692343,5.78050783865659,0,0,13.4351738463719,1.0123257635732,15.2780879121885,6.05555439037827,14.2857453013406,7.89734355481237,20.0856828456538,4.52353712051121,22.4902636612046,11.2971139140005,84.074093293595,53.9584312070161,34.6945541686544,28.3989564024907,32.5615675277104,26.4829532424601,37.1265291895206,20.1282555167807,28.8037732933641,18.9375232297106,38.486576673606,28.7812566044536,41.3460302362911,9.09904084008797
"guanine",1.34707928984445,1.52214719079004,0,0,0,0,1.82666616744339,0.751751590153575,1.18605597742997,1.13530693822337,1.19625481145186,1.0537766512118,0,0,0,0,0,0,2.21944822467452,0.898399668183109,0.884985827419643,0.875617947334566,1.1684344404519,0.636339213784142,0.854512399626152,0.762808594598804,1.65345133497937,0.185358010938941,0.779808521629228,0.679355573754204,0,0,2.10692688517239,0.196061722193063,1.07092807636229,1.3399257335293,1.21008585357291,1.47804416570045,0,0,1.42801103869538,0.212303856396482,0.876762762638803,0.785484383982811,0,0,1.06870267356371,0.98661320248372
